id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
168,Okina Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/okina_mask_elden_ring_wiki_guide_200px.png,"A wooden mask that depicts an old man baring his teeth. The source of the sobriquet of the great swordman of the Land ofReeds.Raises dexterity as it lowers focus.The more he sharpened his mind, the more the absurdities of theworld came into stark relief. And so Okina renounced it all, androse to a higher plane. There was only himself. His katana. And itsmastery.Before long, Okina became a demon of a swordsman.",helm,"[{'Phy': '3.4', 'VS Str.': '3.6', 'VS Sla.': '4.0', 'VS Pie.': '3.1', 'Mag': '3.8', 'Fir': '3.8', 'Lit': '4.2', 'Hol': '3.6'}]","[{'Imm.': '29', 'Rob.': '18', 'Foc.': '23', 'Vit.': '22', 'Poi.': '6'}]",3.6,+3 Dexterity. Reduces focus by 44 points.,Dropped by Bloody Finger Okina at Mountaintops of the Giants. Elden Ring Map here,7,0
169,Old Aristocrat Cowl,http://eldenring.wiki.fextralife.com/file/Elden-Ring/old_aristocrat_cowl_elden_ring_wiki_guide_200px.png,"Cowl made of soft cloth.Travel attire worn by nobles in the capital. Garb favored by the aged.Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",helm,"[{'Phy': '2.5', 'VS Str.': '2.5', 'VS Sla.': '2.3', 'VS Pie.': '2.5', 'Mag': '3.4', 'Fir': '3.6', 'Lit': '3.4', 'Hol': '2.5'}]","[{'Imm.': '18', 'Rob.': '11', 'Foc.': '15', 'Vit.': '16', 'Poi.': '3'}]",2.2,,"All pieces of the Old Aristocrat Set are dropped by the Old Aristocrat enemies, often found within larger groups of Aristocrats wandering the roads of most areas. The green cowl makes them easily distinguishable from other Aristocrats.There are a number of Old Aristocrats within the caravan of enemies north of the Agheel Lake South site of grace.Altus Plateau- There are Old Aristocrats to the left of Gold Mask's Bridge.",1,0
170,Olivinus Glintstone Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/olivinus_glintstone_crown_elden_ring_wiki_guide_200px.png,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of HP. The lineage of the Olivinus Conspectus began with the sorcerer Lusat, and its adherents continue his study of meteors.",helm,"[{'Phy': '4.4', 'VS Str.': '3.1', 'VS Sla.': '5.2', 'VS Pie.': '4.8', 'Mag': '4.4', 'Fir': '4.5', 'Lit': '3.4', 'Hol': '3.8'}]","[{'Imm.': '16', 'Rob.': '26', 'Foc.': '10', 'Vit.': '10', 'Poi.': '6'}]",5.1,+3 Intelligence. Reduces HP by 9%.,"From the Schoolhouse Classroom site of grace, turn left and head to the room at the end of the corridor. Attack the empty bookshelf to reveal a hidden passage. Head out, turn left, and then jump up the rocks to find this item on a corpse. Elden Ring Map here",2,0
171,Omen Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omen_helm_elden_ring_wiki_guide_200px.png,"Malformed helm resembling an Omen with its horns cut off.Worn by the Dung Eater, their form is a vision of the landscape of his mind, and of his appearance as he wished to see it.The heart of an omen without the body to match; could there be any crueler existence? What does it matter, then, if the curse claims at all?",helm,"[{'Phy': '6.7', 'VS Str.': '5.4', 'VS Sla.': '6.8', 'VS Pie.': '6.8', 'Mag': '4.6', 'Fir': '5.2', 'Lit': '5.3', 'Hol': '4.9'}]","[{'Imm.': '29', 'Rob.': '27', 'Foc.': '24', 'Vit.': '33', 'Poi.': '14'}]",9.9,Increases damage of Omen Bairn and Regal Omen Bairn by 5%.,The Omen set can be found after killing the Dung Eater in the Subterranean Shunning-Grounds at the Leyndell Royal Capital. Elden Ring Map here,11,0
172,Omensmirk Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omensmirk_mask_elden_ring_wiki_guide_200px.png,"Mask with long, hideously twisted horns worn by the Omenkillers.Increases strength. Bears the smirking face of an elder, twisted in wicked delight. This visage is carved in the image of the evil spirits that haunt the Omen in their nightmares.",helm,"[{'Phy': '3.1', 'VS Str.': '2.8', 'VS Sla.': '2.5', 'VS Pie.': '2.5', 'Mag': '3.1', 'Fir': '3.4', 'Lit': '4.0', 'Hol': '3.6'}]","[{'Imm.': '29', 'Rob.': '12', 'Foc.': '20', 'Vit.': '20', 'Poi.': '6'}]",3.0,+2 Strength,"Dropped by Omensmirk and wearing mask outside of Lower Capital Church Site of Grace in Leyndell, Royal Capital. Elden Ring Map here",5,0
173,Page Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/page_hood_elden_ring_wiki_guide_200px.png,Hood worn by pages who serve the nobility and are mindful to keep them out of harm's way. The unassuming sack-like appearance befits their unseen and unknown stature.,helm,"[{'Phy': '1.8', 'VS Str.': '1.4', 'VS Sla.': '0.9', 'VS Pie.': '0.9', 'Mag': '4.4', 'Fir': '4.2', 'Lit': '4.5', 'Hol': '4.5'}]","[{'Imm.': '15', 'Rob.': '8', 'Foc.': '29', 'Vit.': '29', 'Poi.': '2'}]",1.4,,Drops from Page enemies.,1,0
174,Perfumer Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer_hood_elden_ring_wiki_guide_200px.png,"Hood of an Erdtree Capital perfumer.In time past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.",helm,"[{'Phy': '1.4', 'VS Str.': '2.1', 'VS Sla.': '1.8', 'VS Pie.': '1.4', 'Mag': '4.6', 'Fir': '4.2', 'Lit': '4.4', 'Hol': '4.6'}]","[{'Imm.': '26', 'Rob.': '8', 'Foc.': '27', 'Vit.': '29', 'Poi.': '3'}]",1.7,,"Chance to drop from Perfumer enemies encountered in Leyndell, Royal Capital.",3,0
175,Preceptor's Big Hat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/preceptors_big_hat_elden_ring_wiki_guide_200px.png,"Large hat with the movements of the stars drawn on the inside of the brim. Worn by the magic preceptors who served the Carian royals.Increases mind to the detriment of stamina.Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain of aware of. Even if their fate has been long severed from the stars.",helm,"[{'Phy': '2.5', 'VS Str.': '2.8', 'VS Sla.': '2.5', 'VS Pie.': '2.5', 'Mag': '5.5', 'Fir': '4.9', 'Lit': '4.8', 'Hol': '4.8'}]","[{'Imm.': '26', 'Rob.': '12', 'Foc.': '44', 'Vit.': '42', 'Poi.': '5'}]",3.6,+3 Mind. Reduces max Stamina by 9%.,Found on Seluvis's body in Seluvis's Rise after reaching the end of Ranni's questline. Elden Ring Map here,2,0
176,Prisoner Iron Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/prisoner_iron_mask_elden_ring_wiki_guide_200px.png,"Iron mask forced on a prisoner convicted of an appalling crime. Thick, heavy, and utterly stifling. A foul creation designed to torment the wearer, either slowly fermenting hatred within their heart, or a spiritual fervor that is near indistinguishable from it.",helm,"[{'Phy': '6.8', 'VS Str.': '5.9', 'VS Sla.': '7.0', 'VS Pie.': '6.8', 'Mag': '4.6', 'Fir': '4.9', 'Lit': '4.5', 'Hol': '4.8'}]","[{'Imm.': '29', 'Rob.': '44', 'Foc.': '35', 'Vit.': '20', 'Poi.': '12'}]",8.6,,Starting Equipment for the Prisoner Class.Can be purchased from the Nomadic Merchant in Ainsel River for 1000 Runes. Elden Ring Map here,1,0
177,Prophet Blindfold,http://eldenring.wiki.fextralife.com/file/Elden-Ring/prophet_blindfold_elden_ring_wiki_guide_200px.png,"Blindfold of exiled prophets who foretold misfortune and were persecuted and driven from their homes as a result. Why hesitate, if the path leading to the future is clear? Just close your eyes, and walk.",helm,"[{'Phy': '0.2', 'VS Str.': '0.9', 'VS Sla.': '0.9', 'VS Pie.': '0.2', 'Mag': '4.5', 'Fir': '4.2', 'Lit': '4.0', 'Hol': '4.5'}]","[{'Imm.': '14', 'Rob.': '5', 'Foc.': '27', 'Vit.': '27', 'Poi.': '1'}]",1.0,,"Starting Equipment for the Prophet Class.Can be purchased from Hermit Merchant at Hermit Merchant's Shack for 1,000 Runes. Elden Ring Map here",2,0
178,Pumpkin Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pumpkin_helm_elden_ring_wiki_guide_200px.png,"An oval helmet large enough to cover any head. Very heavy and very hard.Reduces damage from headshots and impacts.The inside of the helm is pitch black, keeping the crazed warrior within from panicking. Perhaps its rather roomy interior also helps alleviate feelings of pressure and claustrophobia.",helm,"[{'Phy': '7.0', 'VS Str.': '5.9', 'VS Sla.': '6.7', 'VS Pie.': '6.7', 'Mag': '4.6', 'Fir': '4.7', 'Lit': '5.2', 'Hol': '4.5'}]","[{'Imm.': '27', 'Rob.': '42', 'Foc.': '44', 'Vit.': '18', 'Poi.': '11'}]",12.3,Reduces damage from headshots and impacts.,"Dropped by Pumpkin Head. Can be found in Castle Morne's courtyard, [Elden Ring Map here] or at Waypoint Ruins. [Elden Ring Map here]",11,0
179,Queen's Crescent Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/queens_crescent_crown_elden_ring_wiki_guide_200px.png,"A tall crown depicting the moon. Worn by Rennala, Queen of the Full Moon. Increases intelligence. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all.",helm,"[{'Phy': '2.1', 'VS Str.': '1.8', 'VS Sla.': '1.8', 'VS Pie.': '1.4', 'Mag': '4.9', 'Fir': '4.5', 'Lit': '4.6', 'Hol': '4.7'}]","[{'Imm.': '18', 'Rob.': '11', 'Foc.': '31', 'Vit.': '35', 'Poi.': '3'}]",2.2,+3 Intelligence,"The Queen's Crescent Crown Helm can be purchased to Enia in Roundtable Hold for 7,000 Need to defeat Rennala, Queen of the Full Moon Bossfight first.",2,0
180,Radahn Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahn_soldier_helm_elden_ring_wiki_guide_200px.png,Helm worn by soldiers who fought by General Radahn's side. Its visor is fashioned after a lion's fangs.,helm,"[{'Phy': '4.6', 'VS Str.': '3.4', 'VS Sla.': '4.2', 'VS Pie.': '4.0', 'Mag': '3.1', 'Fir': '3.8', 'Lit': '2.5', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '20', 'Foc.': '9', 'Vit.': '10', 'Poi.': '7'}]",4.0,,Easily found in large numbers around Fort Gael. Elden Ring Map Here,7,0
181,Radahn's Redmane Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahns_redmane_helm_elden_ring_wiki_guide_200px.png,"Helm of the golden lion, with flowing red hair.Worn by General Radahn.Radahn inherited the furious, flaming red hair of his father Radagon, and is fond of its heroic implications.""I was born a champion's cub. Now I am the Lord of the Battlefield's lion.""",helm,"[{'Phy': '6.8', 'VS Str.': '5.4', 'VS Sla.': '6.7', 'VS Pie.': '6.3', 'Mag': '4.8', 'Fir': '5.0', 'Lit': '4.5', 'Hol': '4.8'}]","[{'Imm.': '26', 'Rob.': '42', 'Foc.': '18', 'Vit.': '16', 'Poi.': '11'}]",7.5,,"Can be purchased from Enia at the Roundtable Hold for 8,000 runes once Starscourge Radahn has been defeated.",10,0
182,Radiant Gold Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radiant_gold_mask_elden_ring_wiki_guide_200px.png,"A mask designed to resemble a blazing golden halo.Created and left behind by Lord Goldmask, a staunch pursuer of Golden Order fundamentalism.Strenthens Golden Order incantations.Its striking design represents both the brilliant inspiration that once shone upon him, and the vision of a ring that he will surely find at the end of his pursuit.""To you who seek to shine as I do, wear it well!""",helm,"[{'Phy': '2.3', 'VS Str.': '2.1', 'VS Sla.': '2.1', 'VS Pie.': '1.4', 'Mag': '4.6', 'Fir': '4.5', 'Lit': '4.6', 'Hol': '4.8'}]","[{'Imm.': '22', 'Rob.': '9', 'Foc.': '33', 'Vit.': '33', 'Poi.': '3'}]",2.2,Strengthens Golden Order incantations.,Found on collapsed bridge NW of Writheblood Ruins. Drop down two times heading south and it is on a body. Elden Ring Map here,2,0
183,Ragged Hat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ragged_hat_elden_ring_wiki_guide_200px.png,Helm pieced together from scavenged metal.,helm,"[{'Phy': '3.1', 'VS Str.': '3.4', 'VS Sla.': '3.1', 'VS Pie.': '3.1', 'Mag': '3.6', 'Fir': '3.8', 'Lit': '4.0', 'Hol': '3.6'}]","[{'Imm.': '26', 'Rob.': '16', 'Foc.': '22', 'Vit.': '22', 'Poi.': '4'}]",3.3,,Not currently obtainable.,0,0
184,Ragged Hat (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/ragged_hat_(altered)_elden_ring_wiki_guide_200px.png,Helm pieced together from scavenged metal.,helm,"[{'Phy': '2.8', 'VS Str.': '3.1', 'VS Sla.': '2.8', 'VS Pie.': '2.8', 'Mag': '3.4', 'Fir': '3.6', 'Lit': '3.8', 'Hol': '3.4'}]","[{'Imm.': '21', 'Rob.': '13', 'Foc.': '18', 'Vit.': '18', 'Poi.': '3'}]",3.0,,Not currently obtainable.,0,0
185,Raging Wolf Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raging_wolf_helm_elden_ring_wiki_guide_200px.png,"A helm worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. Vargram earned his nickname from the white wolf pelt that adorns this helm.",helm,"[{'Phy': '4.7', 'VS Str.': '4.1', 'VS Sla.': '4.7', 'VS Pie.': '4.5', 'Mag': '3.5', 'Fir': '3.9', 'Lit': '2.4', 'Hol': '3.3'}]","[{'Imm.': '14', 'Rob.': '23', 'Foc.': '8', 'Vit.': '8', 'Poi.': '7'}]",4.4,,"Leyndell, Royal Capital. After obtaining the second to last letter from Volcano Manor, you will be sent to assist Knight Bernahl with assassinating Vargram the Raging Wolf and Errant Sorcerer Wilhelm. On successful invasion, you will receive the full Raging Wolf Set. See it on the Elden Ring Map here.",9,0
186,Raya Lucarian Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raya_lucarian_helm_elden_ring_wiki_guide_200px.png,Helm worn by Raya Lucaria Academy soldiers.Its brow adorned with a single cuckoo's feather.,helm,"[{'Phy': '4.4', 'VS Str.': '3.4', 'VS Sla.': '4.6', 'VS Pie.': '4.4', 'Mag': '3.4', 'Fir': '3.6', 'Lit': '2.3', 'Hol': '2.8'}]","[{'Imm.': '12', 'Rob.': '22', 'Foc.': '9', 'Vit.': '9', 'Poi.': '7'}]",4.0,,The Phantom Raya Lucarian Soldiers in Carian Manor drop all pieces of the Raya Lucarian Soldier Set. They are easily farmed on the ramparts after the Manor Lower Level site of grace.,7,0
187,Redmane Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/redmane_knight_helm_elden_ring_wiki_guide_200px.png,Helm worn by knights who fought by General Radahn's side.The red plume is a symbol of Radahn's pedigree as Lord Radagon's son - the mane of the proud Red Lion.,helm,"[{'Phy': '5.0', 'VS Str.': '4.0', 'VS Sla.': '4.8', 'VS Pie.': '4.4', 'Mag': '3.8', 'Fir': '4.4', 'Lit': '3.4', 'Hol': '3.8'}]","[{'Imm.': '15', 'Rob.': '23', 'Foc.': '10', 'Vit.': '11', 'Poi.': '8'}]",5.1,,Chance to drop from Radahn Knight in Fort Gael. Elden Ring Map here,8,0
188,Rotten Duelist Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotten_duelist_helm_elden_ring_wiki_guide_200px.png,"Bronze helm decorated with innumerable snakes, eaten through by scarlet rot. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes.",helm,"[{'Phy': '5.5', 'VS Str.': '4.6', 'VS Sla.': '5.8', 'VS Pie.': '5.5', 'Mag': '4.5', 'Fir': '4.6', 'Lit': '4.4', 'Hol': '4.5'}]","[{'Imm.': '31', 'Rob.': '31', 'Foc.': '14', 'Vit.': '14', 'Poi.': '9'}]",6.4,Increases likelihood of being targeted by foes.,Dropped by a Rotten Duelist in the Consecrated Snowfield. Elden Ring Map here,6,0
189,Royal Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_knight_helm_elden_ring_wiki_guide_200px.png,"Silver helm of Loretta, a Knight who served Miquella's Haligtree.Loretta, once a royal Carian Knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation.",helm,"[{'Phy': '5.8', 'VS Str.': '5.2', 'VS Sla.': '6.3', 'VS Pie.': '6.1', 'Mag': '5.0', 'Fir': '4.7', 'Lit': '4.4', 'Hol': '4.6'}]","[{'Imm.': '22', 'Rob.': '29', 'Foc.': '15', 'Vit.': '15', 'Poi.': '9'}]",6.6,,"Can be brought from Finger Reader Enia, at Roundtable Hold after defeating Loretta, Knight of the Haligtree for 4000.",9,0
190,Royal Remains Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_remains_helm_elden_ring_wiki_guide_200px.png,"Helm graced with gold human bones.Worn by the unspeaking adherent of Sir Gideon the All-Knowing.Slowly replenishes HP when HP is reduced.It is said that the bones belong to an ancient lord - the soulless king. The lord of the lost and desperate, who was known as Ensha.",helm,"[{'Phy': '4.2', 'VS Str.': '4.0', 'VS Sla.': '4.6', 'VS Pie.': '4.2', 'Mag': '3.4', 'Fir': '3.6', 'Lit': '2.8', 'Hol': '3.1'}]","[{'Imm.': '15', 'Rob.': '24', 'Foc.': '10', 'Vit.': '5', 'Poi.': '7'}]",4.6,Slowly replenishes HP when HP is under 18%.,"Upon attaining the Haligtree Secret Medallion (Right), Ensha of the Royal Remains will invade the players world the next time they travel back to Roundtable Hold. The full Royal Remains Set is acquired after beating him.",9,0
191,Ruler's Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rulers_mask_elden_ring_wiki_guide_200px.png,"Mask in the image of a wizened sage. Customary dress among lords in a smaller nation. Increases faith. Such a mask illustrates the qualities of an ideal lord: chiefly, wise and possessing a certain defanged geniality. One at the center of society often finds these qualities most expedient.",helm,"[{'Phy': '1.8', 'VS Str.': '2.3', 'VS Sla.': '2.3', 'VS Pie.': '1.4', 'Mag': '4.6', 'Fir': '4.4', 'Lit': '4.6', 'Hol': '4.7'}]","[{'Imm.': '20', 'Rob.': '10', 'Foc.': '33', 'Vit.': '33', 'Poi.': '3'}]",2.2,+1 Faith,"The Ruler's Mask Helm can be found on a corpse laying face-down on a carriage northeast of the Abandoned Coffin site of grace in west Altus Plateau, alongside the Ruler's Robe. Elden Ring Map here",3,0
192,Sacred Crown Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sacred_crown_helm_elden_ring_wiki_guide_200px.png,"Flanged iron cap adorned with a crown of unalloyed gold.Increases faith.Worn by foot soldiers sworn to the Haligtree.Who is it that Miquella shall bless, if not the low and the meek?",helm,"[{'Phy': '3.4', 'VS Str.': '3.8', 'VS Sla.': '3.1', 'VS Pie.': '3.6', 'Mag': '3.6', 'Fir': '3.8', 'Lit': '4.2', 'Hol': '4.0'}]","[{'Imm.': '27', 'Rob.': '18', 'Foc.': '23', 'Vit.': '24', 'Poi.': '5'}]",3.6,+1 Faith,Drops from the ballista soldiers just outside of the Elpheal Inner Wall site of Grace. Elden Ring Map here,6,0
193,Sage Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sage_hood_elden_ring_wiki_guide_200px.png,A burgundy pointed hood. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.,helm,"[{'Phy': '2.3', 'VS Str.': '2.1', 'VS Sla.': '2.1', 'VS Pie.': '1.4', 'Mag': '4.8', 'Fir': '4.5', 'Lit': '4.6', 'Hol': '4.8'}]","[{'Imm.': '16', 'Rob.': '10', 'Foc.': '31', 'Vit.': '33', 'Poi.': '3'}]",2.2,,"Can be found in Stillwater Cave - Liurnia of the Lakes, just ahead and below the Lake Facing Cliffs, it's all sitting on a poison submerged corpse near the end, guarded by Giant Bats that will attack you when you take it. Elden Ring Map here",2,0
